name,taskid,kind,started,resolved
upload-generated-sources-win32-shippable/opt,A-YmJVufTX2-nJWvJHHyBw,upload-generated-sources,2019-06-17 11:51:34.712000+00:00,2019-06-17 11:55:51.657000+00:00
test-android-hw-p2-8-0-android-aarch64/opt-raptor-tp6m-4-geckoview-e10s,A-q3-kKNRDe4GxPWCqlEPw,test,2019-06-17 11:04:41.859000+00:00,2019-06-17 11:09:59.684000+00:00
test-windows10-64/debug-mochitest-devtools-chrome-e10s-2,A0STs75YRn67ztxnsIhR5g,test,2019-06-17 11:30:03.384000+00:00,2019-06-17 12:22:56.029000+00:00
test-windows10-64-shippable/opt-raptor-wasm-godot-firefox-e10s,A0SZCCFDRnqfNHyD8OlQPg,test,2019-06-17 12:10:43.792000+00:00,2019-06-17 12:12:55.826000+00:00
test-linux64-shippable/opt-xpcshell-e10s-1,A1AHCoR2SG-jsRK8ZF5kQg,test,2019-06-17 12:04:39.080000+00:00,2019-06-17 12:17:31.733000+00:00
test-windows10-64/opt-mochitest-browser-chrome-e10s-4,A2PZP3O9QZCIUsrpz3DW9w,test,2019-06-17 11:24:22.312000+00:00,2019-06-17 11:46:00.969000+00:00
test-windows10-64-ccov/debug-mochitest-browser-chrome-e10s-7,A2dNk3YvTaeZYXVtBgppZg,test,2019-06-17 11:54:36.627000+00:00,2019-06-17 13:30:12.599000+00:00
test-windows10-aarch64/opt-raptor-stylebench-firefox-e10s,A2jPykwYTYCm3Z4ykA57qw,test,2019-06-17 11:20:05.154000+00:00,2019-06-17 11:28:42.070000+00:00
test-linux64-ccov/debug-reftest-no-accel-e10s-5,A3ImCidLSYqaclIY6bwyAA,test,2019-06-17 11:06:49.544000+00:00,2019-06-17 11:50:29.301000+00:00
test-windows10-64-shippable/opt-raptor-speedometer-firefox-e10s,A3W9lUx1T9e4i587FbcOsg,test,2019-06-17 12:10:43.910000+00:00,2019-06-17 12:15:54.544000+00:00
test-windows7-32-shippable/opt-crashtest-e10s,A4P6qDwPRO-qQBpj4SRFFA,test,2019-06-17 11:51:34.824000+00:00,2019-06-17 12:06:44+00:00
test-android-hw-p2-8-0-android-aarch64/pgo-raptor-tp6m-6-geckoview-e10s,A4j8C1p6RoKEfwtPsdDOog,test,2019-06-17 12:13:21.482000+00:00,2019-06-17 12:21:00.069000+00:00
test-macosx1014-64-shippable/opt-talos-chrome-e10s,A96f0IGBRIOyOV4gD7QjuA,test,2019-06-17 11:25:05.793000+00:00,2019-06-17 11:41:16.638000+00:00
test-windows7-32/opt-mochitest-media-spi-e10s-1,A9TKHKqvRVi2rUF6lNqAuQ,test,2019-06-17 11:24:45.604000+00:00,2019-06-17 11:45:13.841000+00:00
test-windows7-32/opt-talos-chrome-e10s,A9cIuBH5RFij1DXdHwvR3w,test,2019-06-17 11:14:50.113000+00:00,2019-06-17 11:22:12.333000+00:00
test-windows7-32-shippable/opt-web-platform-tests-e10s-6,AA7Pwe3sTZeFpZTOt9amEA,test,2019-06-17 11:51:34.696000+00:00,2019-06-17 12:16:04.757000+00:00
