name,taskid,kind,started,resolved,locale
beetmover-checksums-bn-win64-aarch64-shippable/opt,A-6on4uySFmiZgHKu-Ez-A,beetmover-checksums,2019-06-18 01:33:48.440000+00:00,2019-06-18 01:34:01.605000+00:00,bn
partials-signing-be-linux-shippable/opt,A-7aZlh3TEymc3D6uE_5CA,partials-signing,2019-06-18 00:45:00.503000+00:00,2019-06-18 00:45:14.988000+00:00,
beetmover-repackage-cak-linux-shippable/opt,A00X5MDVRveDA9HLta1a3g,beetmover-repackage,2019-06-18 00:40:16.669000+00:00,2019-06-18 00:41:58.868000+00:00,cak
repackage-l10n-nn-NO-linux64-shippable/opt,A0WFfhtRRBWL2iMqkk0lhw,repackage-l10n,2019-06-17 23:59:25.582000+00:00,2019-06-18 00:01:40.810000+00:00,
nightly-l10n-signing-win64-aarch64-shippable-4/opt,A1HhKkq-QwWc663D5ursLw,nightly-l10n-signing,2019-06-18 00:45:13.996000+00:00,2019-06-18 00:57:38.986000+00:00,
beetmover-repackage-ta-macosx64-shippable/opt,A1O1LYdWQrC3UR9oi8jxoQ,beetmover-repackage,2019-06-17 23:59:09.182000+00:00,2019-06-17 23:59:48.678000+00:00,ta
partials-is-win32-shippable/opt,A1j5ajmQQ4eTaOJGU2qUpg,partials,2019-06-18 00:31:05.280000+00:00,2019-06-18 00:34:20.619000+00:00,
checksums-signing-es-CL-linux-shippable/opt,A2m3cHXGTDCRuMPABw91Xw,checksums-signing,2019-06-18 00:53:00.327000+00:00,2019-06-18 00:53:13.154000+00:00,
balrog-hsb-linux64-shippable/opt,A2uFDBjxSEa7ls8i-Wq9kQ,balrog,2019-06-18 00:25:55.422000+00:00,2019-06-18 00:26:10.644000+00:00,
repackage-signing-l10n-oc-win64-aarch64-shippable/opt,A45Rm76FTaywZn7dX-IWqQ,repackage-signing-l10n,2019-06-18 01:12:57.304000+00:00,2019-06-18 01:13:58.424000+00:00,
repackage-signing-l10n-fr-win32-shippable/opt,A4CTyHjPQGu_nEbXxljI7Q,repackage-signing-l10n,2019-06-18 01:00:06.851000+00:00,2019-06-18 01:00:47.151000+00:00,
repackage-signing-msi-es-ES-win32-shippable/opt,A4IfHVGxSR6iEb9k_CzWnQ,repackage-signing-msi,2019-06-18 01:28:28.382000+00:00,2019-06-18 01:28:56.264000+00:00,
partials-signing-de-win64-shippable/opt,A4MVzI1eRvGLVEF-PYE6EA,partials-signing,2019-06-18 01:06:56.879000+00:00,2019-06-18 01:07:10.717000+00:00,
beetmover-repackage-ga-IE-macosx64-shippable/opt,A4hiTzfASsegslLTpXrLnA,beetmover-repackage,2019-06-17 23:40:46.847000+00:00,2019-06-17 23:41:51.260000+00:00,ga-IE
partials-signing-uz-win64-aarch64-shippable/opt,A5CGKFOwQA-Dgf5n8qakPg,partials-signing,2019-06-18 01:09:55.330000+00:00,2019-06-18 01:10:09.939000+00:00,
partials-signing-fr-linux64-shippable/opt,A5EfVBGyRVeF9BeU_ZgIig,partials-signing,2019-06-18 00:27:59.806000+00:00,2019-06-18 00:28:16.431000+00:00,
partials-dsb-win64-aarch64-shippable/opt,A5VnuwOMTG2wXE5zVIg39A,partials,2019-06-18 01:09:01.677000+00:00,2019-06-18 01:13:28.363000+00:00,
beetmover-checksums-sl-linux-shippable/opt,A5nNSGl0RNuBlXRou6U-zg,beetmover-checksums,2019-06-18 00:52:25.470000+00:00,2019-06-18 00:53:14.911000+00:00,sl
balrog-eu-win32-shippable/opt,A60WQkJiQSuFRFLb7pZY1w,balrog,2019-06-18 01:17:30.642000+00:00,2019-06-18 01:17:51.988000+00:00,
nightly-l10n-signing-win64-shippable-15/opt,A67Kd_nYRVmHflPM-q5MGg,nightly-l10n-signing,2019-06-18 00:30:33.035000+00:00,2019-06-18 00:40:01.513000+00:00,
repackage-l10n-ca-win64-aarch64-shippable/opt,A6AYEN8iTkSQtgd5PVS3Jg,repackage-l10n,2019-06-18 01:01:21.395000+00:00,2019-06-18 01:13:50.145000+00:00,
beetmover-repackage-hsb-linux-shippable/opt,A6I1uvADQPygTRpbZd_aVA,beetmover-repackage,2019-06-18 00:37:39.068000+00:00,2019-06-18 00:39:06.246000+00:00,hsb
repackage-l10n-es-AR-win64-aarch64-shippable/opt,A6IqtusTSfKeY4I3DHnsbA,repackage-l10n,2019-06-18 01:08:57.981000+00:00,2019-06-18 01:24:19.412000+00:00,
partials-signing-win64-asan-reporter-nightly/opt,A6NWcRXyRT-v-NPdcXzeaQ,partials-signing,2019-06-18 00:57:38.128000+00:00,2019-06-18 00:57:58.465000+00:00,
repackage-l10n-ru-macosx64-shippable/opt,A6QIu81oQOWs32RV8bG7Jw,repackage-l10n,2019-06-17 23:29:55.207000+00:00,2019-06-17 23:32:54.304000+00:00,
